model,imgsz,conf_threshold,precision,recall,mAP50,mAP50_95,avg_latency_ms,fps
yolov8n.pt,416,0.25,0.9705438691301203,0.9554197037385375,0.972438668166678,0.8518763751688174,6.70088529586792,149.23401249931064
yolov8n.pt,416,0.35,0.9705438691301203,0.9554197037385375,0.972438668166678,0.8492152578739047,6.814241409301758,146.75147825478464
yolov8n.pt,416,0.5,0.9705438691301203,0.9554197037385375,0.9630130341707904,0.8454866258041382,6.52463436126709,153.26529344485735
yolov8n.pt,640,0.25,0.9812513683546763,0.9655302139666118,0.9833300232405846,0.8992091886659042,6.847703456878662,146.03436119820273
yolov8n.pt,640,0.35,0.9812513683546763,0.9655302139666118,0.9738762036071242,0.8973221861059993,6.965744495391846,143.55967271862255
yolov8n.pt,640,0.5,0.9812513683546763,0.9655302139666118,0.9738762036071242,0.8911071525024168,7.086372375488281,141.1159260355826
yolov8n.pt,1280,0.25,0.9813617108231195,0.9656556457556065,0.9739137696874242,0.9140648721400654,15.955841541290283,62.67297136363602
yolov8n.pt,1280,0.35,0.9813617108231195,0.9656556457556065,0.9739137696874242,0.9121560715742841,16.018366813659668,62.42833689806939
yolov8n.pt,1280,0.5,0.9813617108231195,0.9656556457556065,0.9641513465922987,0.9076329459799979,15.852153301239014,63.08291252279521
yolov8s.pt,416,0.25,0.9742852718940692,0.9604514460380907,0.9727889043536894,0.8823334302772408,7.116663455963135,140.51528587628917
yolov8s.pt,416,0.35,0.9742852718940692,0.9604514460380907,0.9727889043536894,0.8785911650314422,6.906378269195557,144.793690849557
yolov8s.pt,416,0.5,0.9749677542636029,0.9597460616035739,0.9534657700962306,0.8718568824066069,7.021832466125488,142.4129676724943
yolov8s.pt,640,0.25,0.9834872029187111,0.9703268281213261,0.9743168549224042,0.9141790932626067,11.231303215026855,89.03686249535636
yolov8s.pt,640,0.35,0.9834872029187111,0.9703268281213261,0.9743168549224042,0.9132227979318064,11.136436462402344,89.79533115248258
yolov8s.pt,640,0.5,0.9846117084826762,0.9688690336233247,0.9644775990197092,0.9064751965036864,10.97341775894165,91.1293110284764
yolov8s.pt,1280,0.25,0.9811917585413737,0.9714836575928422,0.9739212390642574,0.9275555657395967,37.94528245925903,26.35373714963584
yolov8s.pt,1280,0.35,0.9811917585413737,0.9714836575928422,0.9739212390642574,0.9256333072526501,38.03598880767822,26.29089005826326
yolov8s.pt,1280,0.5,0.9843144756348333,0.967928521043969,0.964092757478665,0.9198254530562788,38.02683353424072,26.2972198066285
